| ID Absorber | Redshift Absorber |                               Wavelength |
|         430 |           1.36128 | 10187.285414175221 .. 17394.831086184353 |
|         372 |           0.84449 | 10178.695688461634 .. 17384.738018034863 |
|         344 |            1.3679 |  10200.310163146012 .. 17480.31169122397 |
