| ID Non-Absorber | Redshift Non-Absorber |                               Wavelength |
|             236 |               1.14471 | 10186.511031711749 .. 17433.740769226966 |
|             237 |               1.24298 |  10182.498133926474 .. 17420.86356136293 |
|             303 |               0.69801 |  10179.317845935107 .. 17364.79499288171 |
|             351 |               0.67767 | 10197.478588764254 .. 17427.058450764198 |
|             344 |               1.16028 |  10178.842524370993 .. 17354.98126387586 |
|             356 |                0.7878 |  10173.943876723513 .. 17350.71101063484 |
|             284 |               1.16107 |  10172.885326565256 .. 17370.16442236116 |
