| ID Absorber | Redshift Absorber |                               Wavelength |
|         341 |           0.95601 |  10184.007667768159 .. 17394.79133062044 |
|         336 |           1.36066 | 10186.126031446265 .. 17393.629513462685 |
|         331 |           0.81523 | 10178.123675673734 .. 17384.225862950552 |
|         352 |           0.94575 |  10177.562691084813 .. 17389.03319313514 |
|         333 |            1.0857 |  10176.716627838125 .. 17379.22816587536 |
|         360 |           0.81741 | 10198.238702038881 .. 17422.390728531856 |
