| ID Absorber | Redshift Absorber |                               Wavelength |
|         317 |           1.57437 |   10183.41918705721 .. 17402.44402422649 |
|         274 |           1.57694 |  10186.22161786618 .. 17425.162930903334 |
|         359 |           0.67331 | 10189.315383597796 .. 17395.153910046596 |
|         221 |           1.57385 |   10183.454627523199 .. 17423.4905456775 |
|         306 |             1.222 | 10177.079462674425 .. 17384.072420084343 |
|         285 |           1.52433 |  10177.51590734761 .. 17390.034074171363 |
