| ID Non-Absorber | Redshift Non-Absorber |                               Wavelength |
|             435 |               1.33673 | 10192.720401769924 .. 17417.059088596045 |
|             401 |               1.35279 | 10180.147796525474 .. 17380.830661320393 |
|             379 |               1.14829 |  10177.614099109187 .. 17380.86590006295 |
|             431 |               1.14042 | 10195.776688094318 .. 17423.605830671902 |
|             393 |               1.29424 | 10201.582963574752 .. 17460.509386474892 |
|             484 |               1.12549 | 10196.643590534417 .. 17408.955402529882 |
