| ID Non-Absorber | Redshift Non-Absorber |                               Wavelength |
|             369 |                1.1014 |  10191.82848269594 .. 17423.649316598214 |
|             314 |               1.15675 |  10195.70175436665 .. 17419.746560865766 |
|             304 |               1.16843 | 10197.446833231414 .. 17411.152041583933 |
|             277 |               1.17026 |  10196.145107455057 .. 17400.99548799869 |
