| ID Non-Absorber | Redshift Non-Absorber |                               Wavelength |
|             328 |               1.32194 | 10188.720410527105 .. 17432.212893997734 |
|             357 |                1.5559 |  10183.41084053642 .. 17420.289183475066 |
|             281 |               1.00211 |  10195.757477377794 .. 17461.00173847275 |
|             279 |               1.00273 |  10199.75925699858 .. 17469.938060832974 |
