| ID Non-Absorber | Redshift Non-Absorber |                               Wavelength |
|             396 |               0.67454 |  10188.636943503021 .. 17430.75398323531 |
|             410 |               1.28978 | 10186.113285771422 .. 17428.501686635333 |
|             454 |               0.76634 | 10198.051008766703 .. 17475.053344807686 |
|             316 |               0.69148 | 10170.879331452636 .. 17358.066576210498 |
