| ID Non-Absorber | Redshift Non-Absorber |                               Wavelength |
|             360 |               1.05021 | 10176.564279422142 .. 17375.397136266423 |
|             513 |               0.77288 |  10195.727995263562 .. 17403.56414803722 |
|             540 |               0.89346 | 10192.175218164826 .. 17380.168393110907 |
