| ID Non-Absorber | Redshift Non-Absorber |                               Wavelength |
|             386 |               1.39475 | 10177.389052467028 .. 17388.157411068656 |
|             425 |               0.93364 | 10199.372289624538 .. 17469.291141937596 |
|             453 |               1.19593 |  10202.273664916125 .. 17483.98111529124 |
